screen_name,name,description,category,count
qatarairways,Qatar Airways,"Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F",airline,173895
emirates,Emirates airline,The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7,airline,159046
EtihadAirways,Etihad Airways,"Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp",airline,147133
BarackObama,Barack Obama,This account is run by Organizing for Action staff. Tweets from the President are signed -bo.,person,140835
British_Airways,British Airways,"Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit",airline,138745
cathaypacific,Cathay Pacific,"Welcome to the Cathay Pacific Airways Twitter community, where you can share your #lifewelltravelled moments!  You'll find us tweeting Mon-Fri between 9am & 5pm",airline,124860
AirAsia,AirAsia,"Welcome to our official Twitter account where we tweet exclusive updates, contests & our low fares all in just 140 characters!",airline,118430
cnnbrk,CNN Breaking News,"Breaking news from reporters and editors on the CNN Digital news team. Now 42M strong. Check @cnn for all things CNN, breaking and more.",news,117577
twitter,Twitter,"Your official source for news, updates and tips from Twitter, Inc. Need help? Visit https://t.co/qq1HEzvnrA.",channel,116959
YouTube,YouTube,lol watch this,channel,114446
nytimes,The New York Times,"Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from https://t.co/YapuoqX0HS.",news,112775
BBCWorld,BBC News (World),Where we #LiveTheStory - join us https://t.co/zQYj7l9rp2,news,112071
BBCBreaking,BBC Breaking News,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",news,111753
TurkishAirlines,Turkish Airlines,Thanks for visiting Europe's Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.,airline,110831
Qantas,Qantas,"The official Qantas Twitter page to share information & get feedback. We're online 24 hours a day, 7 days a week.",airline,107851
TheEllenShow,Ellen DeGeneres,"Comedian, talk show host and ice road trucker. My tweets are real, and they're spectacular. https://t.co/rJNCGU9GhH",person,106806
KLM,Royal Dutch Airlines,"Official global account of KLM. While we keep you updated, we're at your service in 12 languages. Share personal details only in private messages!",airline,103517
MAS,Malaysia Airlines,Welcome to the official Malaysia Airlines Berhad Twitter account. We're tweeting here Monday to Friday 10am-5pm Malaysia time (GMT +8),airline,102665
CNN,CNN,It's our job to #GoThere and tell the most difficult stories. Come with us!,news,101801
katyperry,KATY PERRY,Rising...,person,99152
lufthansa,Lufthansa,Welcome to the official twitter channel (international) of Deutsche Lufthansa AG!,airline,96488
STcom,The Straits Times,Breaking news from the online site of Singapore's most widely read newspaper,news,96426
BillGates,Bill Gates,Sharing things I'm learning through my foundation work and other interests...,person,95854
AmericanAir,American Airlines,We're here to offer advice and inspiration for your trip on American. Please click here if you require a formal response to a complaint:https://t.co/gHXQN4ORDA,airline,95268
ChannelNewsAsia,Channel NewsAsia,The official space of Channel NewsAsia - the source of breaking news from Asia & the world. We want to hear from you. Comments and news tips are welcome.,news,93862
taylorswift13,Taylor Swift,Born in 1989.,person,93468
VirginAtlantic,Virgin Atlantic,"Hello Gorgeous! Follow us for news, banter & assistance 24/7. Visit our blog at https://t.co/ziOX3LRnnS or for official concerns visit https://t.co/ZQJmKUNzyR",airline,85526
TODAYonline,TODAY,"Get the latest local and international news from TODAYonline, Singapore's most popular compact newspaper. Also on iOS and Android: https://t.co/hAu0nhk4YE",news,84966
Delta,Delta,"Official account of Delta Air Lines. We're listening around the clock, 7 days a week. For a formal response please visit https://t.co/NnsfScRHt1.",airline,83004
united,United,Conversations with you here are 140 characters-friendly. Tweet us any time. For a formal response visit https://t.co/cpgjUnDsve.,airline,82444
leehsienloong,Lee Hsien Loong,"Prime Minister of Singapore, and leader of @PAPSingapore. This account is maintained by the Prime Minister's Office. Tweets by Mr Lee are signed LHL.",person,78097
justinbieber,Justin Bieber,Let's make the world better. Join @bkstg and add me on @shots 'justinbieber'. COLD WATER and LET ME LOVE YOU out now. OUR new album PURPOSE out NOW,person,77193
mrbrown,mrbrown,"mrbrown aka Kinmun Lee, Blogfather of Singapore, satirist, writer, lyricist, traveler, photographer, cyclist, gamer, and podcaster. Papa of Faith, Isaac & Joy.",person,75385
YahooSG,Yahoo Singapore,Yahoo Singapore's official Twitter account. For bite-sized news and thoughts from S'pore and the world. https://t.co/8THI4Qh1GQ | http://t.co/g43c7Fwh4F,news,74700
TheEconomist,The Economist,News and analysis with a global perspective.  Subscribe here: https://t.co/FDPVGW00W2,channel,73896
rihanna,Rihanna,Get #ANTI now: https://t.co/WH1Yy1ELJB,person,73459
jtimberlake,Justin Timberlake,,person,73059
staralliance,Star Alliance,"The Star Alliance network provides a range of benefits for the international traveller to improve their travel experience, wherever they are in the world.",airline,72875
Reuters,Reuters Top News,"Top and breaking news, pictures, and videos from Reuters.",news,72546
airfrance,Air France,#FranceisintheAir! Stay connected for our latest news! At your service 24/7 (Personal info by DM only),airline,71612
NatGeo,National Geographic,"Since 1888, we've traveled the Earth, sharing its amazing stories with new generations. Official Twitter account of National Geographic.",channel,70479
VirginAustralia,Virgin Australia,Welcome to the official page for Virgin Australia. We're here to help from 5am-11pm (AEST). For 24/7 assistance call 13 67 89. Feedback: http://t.co/bpg9Lb8EOj,airline,70204
SoSingaporean,So Singaporean,Follow to discover everything so unique and #sosingaporean! For any enquiries and adverts kindly contact me at: sosingaporean.twitter@gmail.com,person,69898
ladygaga,JOANNE,"Perfect Illusion OUT NOW / New Album JOANNE OCT 21 PRE-ORDER: https://t.co/8QsYawBg3M So #JOANNE is like, you know, Lady Gaga if you erase all the fame.",person,69193
FlyAirNZ,Air New Zealand️,The official Air New Zealand Twitter account  We're listening 24/7. Please call 0800 737 000 for immediate assistance.,airline,69070
SMRT_Singapore,SMRT Corporation,"Official Twitter channel for SMRT. Offers information and real-time train service updates. For feedback, drop a line to http://t.co/G2rbdPLYAu",other,68858
WSJ,Wall Street Journal,Breaking news and features from the WSJ.,news,68468
TIME,TIME,Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.,news,68233
NEAsg,NEA,NEA is the leading public organisation responsible for improving & sustaining a clean & green environment in Singapore. Contact us @ http://t.co/yZ9jceBqoo,other,66758
KimKardashian,Kim Kardashian West,,person,65991
Xiaxue,�� Xiaxue 彡,Bitching now comes in bite-sized pieces,person,65880
NASA,NASA,Explore the universe and discover our home planet with @NASA. We usually post in EDT (UTC-4).,other,65848
thenewpaper,The New Paper,Local. Vocal. Social. Also check out @TNPSports and @TNP__M,news,65398
google,Google,News and updates from Google,channel,65221
LTAsg,LTA,"Latest transport happenings & lifestyle updates. 

For traffic news, follow @LTATrafficNews. Check out our FB (https://t.co/Ucwpk8rJWH) & IG (@LTAsg) for more!",other,64183
Oprah,Oprah Winfrey,,person,64078
govsingapore,Singapore Government,"Gov.sg - the official Twitter account of the Singapore government. Your first stop for the very latest policy announcements, information and news on Singapore.",other,63262
SamsungMobile,Samsung Mobile,[Statement] Samsung Urges Galaxy Note7 Users to Immediately Participate in The Replacement Program https://t.co/qyBpeBPd64,brand,60908
SGAG_SG,Mr. SGAG,"Your daily dose of Singaporean humor.
http://t.co/9O4olF8kpf",channel,60067
stompsingapore,Stomp Singapore,Award-winning Stomp is Asia's leading citizen journalism website with user-generated material fuelling its success. @stompsingapore on Instagram,news,59788
selenagomez,Selena Gomez,#REVIVAL out NOW. https://t.co/zP4EExdSBG Get The Revival Tour Line: https://t.co/YHbGeHnygg,person,59602
SouthwestAir,Southwest Airlines,We run on #SouthwestHeart. Follow for news & stories about the greatest Employees & Customers in the world. For official concerns please use the link provided.,airline,59104
KoreanAir_KE,Korean Air,"Leading Global carrier, a founding member of SkyTeam, operates more than 400 flights per day to 131 cities in 46 countries.",airline,58276
9GAG,9GAG,Officially 9GAG. Follow us for LOL. get our app on http://t.co/nCs4SurI1w,channel,58000
cnni,CNN International,"Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.",news,57500
jimmyfallon,jimmy fallon,astrophysicist,person,57193
premierleague,Premier League,Official Twitter account of the Premier League. The official Premier League app is now LIVE and FREE to download https://t.co/2wlDwf7gu1,sports,57033
987fm,987,ABOVE THE NOISE. Tweets by @987Sonia / @987Kimberly / @TabithaNauser / @BoyThunder987 / @JoakimGomez,channel,56992
NaomiNeo_,Naomi Neo,"I've nothing to say, cos you'd judge me anyway. Hate me? Block me. 

Contact business@naomineo.com

https://t.co/7mI9vCCdps",person,56936
britneyspears,Britney Spears,My new album #Glory is out now!,person,56927
Forbes,Forbes,"Official Twitter account of http://t.co/iVGiXAHX, homepage for the world's business leaders.",channel,56368
instagram,Instagram,Discovering �� and telling �� stories from around the world. Curated by Instagram's community team. Need help? Visit https://t.co/OQR3Kbbcdw.,channel,55920
ArianaGrande,Ariana Grande,dangerous woman,person,55801
JetBlue,JetBlue Airways,"Hi, nice to tweet you! Fly with us to 90+ destinations and experience our award-winning service. For concerns that require a response, call or email.",airline,55380
Cristiano,Cristiano Ronaldo,This Privacy Policy addresses the collection and use of personal information - https://t.co/Jp6yh1T58c,person,55359
AirCanada,Air Canada,News & more. For fare discounts & special offers follow @ACFlightOffers. | Nouvelles et plus. Pour nos offres speciales suivez @ACFlightOffers.,airline,54618
washingtonpost,Washington Post,"Tweet-length breaking news, analysis from around the world. Founded in 1877. Follow our journalists on Twitter: https://t.co/VV0UBAMHg8",news,54496
espn,ESPN,"We talk about sports, sports, and well ... sports.",sports,54410
richardbranson,Richard Branson,"Tie-loathing adventurer, philanthropist & troublemaker, who believes in turning ideas into reality. Otherwise known as Dr Yes at @virgin!",person,54348
lonelyplanet,Lonely Planet,"Tweeting + retweeting the best in travel: in-depth articles, inspiring photography, intrepid videos. #lp | For the latest daily travel news see @lptravelnews",travel,54248
AP,The Associated Press,"News from The Associated Press, and a taste of the great journalism produced by AP members and customers. Managed 24/7 by these editors: http://t.co/BibaTN49vB",news,54171
SingaporePolice,SingaporePoliceForce,"Welcome to Singapore Police Force's official Twitter account. Pls do NOT report crimes here. Call 999 instead. To provide info, pls call 18002550000. Thank you.",other,53724
Airbus,Airbus,"A global team designing, manufacturing and supporting the world's leading aircraft... with passengers at heart and airlines in mind.",travel,53650
UN,United Nations,Official twitter account of #UnitedNations. Get latest information on the #UNGA. Follow us on Snapchat: united-nations. #GlobalGoals #UN4RefugeesMigrants,other,52841
toshrock,Tosh Zhang,I'm thankful just to be alive cos everyday's a gift. https://t.co/jK1VqdRh5W For business enquiries: toshroc@gmail.com,person,52739
JetstarAirways,Jetstar Airways,"Australia's all day, every day low fares airline. Here to help with customer service queries & fantastic offers. Monitored 7am-8pm weekdays & 9am-5pm weekends.",airline,52562
VirginAmerica,Virgin America,Welcome to the only mood-lit Twitter feed. Check out our blog http://t.co/rYssSyFrNc. For official complaints please visit us at http://t.co/cftZiNWDrG. Cheers!,airline,52472
JLo,Jennifer Lopez,"New Single #LoveMakeTheWorldGoRound out Now! #ShadesOfBlue On NBC, https://t.co/Vr9yBT9OHp",person,51125
Android,Android,"News, tips, and tricks direct from the Android team.",brand,50602
narendramodi,Narendra Modi,Prime Minister of India,person,50550
WhiteHouse,The White House,"Follow for the latest from President Obama and his Administration. For tweets from the President, follow @POTUS. Tweets may be archived: https://t.co/eVVzoBb3Zr",other,50157
TripAdvisor,TripAdvisor,"Know better, book better and go better on the world's largest travel site.",travel,49960
iamsrk,Shah Rukh Khan,,person,49833
Microsoft,Microsoft,The official Twitter page for Microsoft consumer products and your source for major announcements and events.,brand,49164
SrBachchan,Amitabh Bachchan,Actor ... well at least some are STILL saying so !!,person,48955
XHNews,China Xinhua News,"China Insight, Global View. Xinhua News Agency is the first port of call for the latest China and world news. https://t.co/U0WI8N4Fll https://t.co/IHLImeWM1V",news,47714
ManUtd,Manchester United,Official account of Manchester United FC ️,person,47635
HeathrowAirport,Heathrow Airport,Welcome to the official Heathrow Airport Twitter feed. We're here to help every day between 6:30am and 11pm (GMT). Follow @yourHeathrow for our expansion news.,airport,47418
guardian,The Guardian,"Top stories, special features, live blogs and more",news,46790
EmWatson,Emma Watson,Actor & @UN_Women Global Goodwill Ambassador.                                Facebook: EmmaWatson Instagram: EmmaWatson Goodreads: OurSharedShelf,person,46490
FlySWISS,Swiss Intl Air Lines,"Official twitter account of Switzerland's national airline. SWISS in CH @FlySWISS_CH, in the USA @FlySWISS_US, SWISS Cargo @SwissWorldCargo",airline,45950
aamir_khan,Aamir Khan,Actor.,person,45832
BBCNews,BBC News (UK),"News, features and analysis (https://t.co/FAlDvMvjw7). World news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport",news,45714
AsianaAirlines,Asiana Airlines,"Official Twitter of Asiana Airlines USA. Main hub: Seoul, Korea. #ASIANA380 now operating LAX-ICN via OZ202/201. Formal responses visit http://t.co/VzCObfDbdR",airline,44991
BoeingAirplanes,Boeing Airplanes,"Official Twitter of Boeing Commercial Airplanes - 
We design, build and support a family of technologically advanced commercial jets",travel,44785
BeingSalmanKhan,Salman Khan,"Film actor, artist, painter, humanitarian",person,44534
SportsCenter,SportsCenter,"All things sports. Nominate top plays using #SCtop10. *If you tweet or otherwise send us content, you consent to ESPN using and showcasing it in any media.*",sports,44057
DalaiLama,Dalai Lama,Welcome to the official twitter page of the Office of His Holiness the 14th Dalai Lama.,person,43895
BreakingNews,Breaking News,"Be the first to know when news breaks. Get our free app to unlock more updates, see news near you and customize your alerts...",news,43245
ddlovato,Demi Lovato,,person,43183
deepikapadukone,Deepika Padukone,"Live,Love,Laugh... https://t.co/W632g3qOKi",person,42782
POTUS,President Obama,"Dad, husband, and 44th President of the United States. Tweets may be archived: http://t.co/eVVzoATsAR.",person,42300
