"country","count","rank","screen_name","name","description","category","X","count.y","pop","percent"
"Kenya",494,2,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,619,35598952,79.81
"Colombia",296,1,"Avianca","Avianca","Sitio Oficial, horario de atencion al cliente: Lun-Vie 7am-9pm,Sab y Dom 8am-8pm (UTC-05:00) Bogota, Lima, Quito Es/En","airline",NA,371,4494579,79.78
"Afghanistan",55,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,69,25067407,79.71
"Finland",109,1,"Finnair","Finnair","Follow us to hear what's latest with Finnair and to talk with us! For customer inquiries, please contact http://t.co/RDJ5GkjS @FinnairHelps","airline",NA,137,5246004,79.56
"Armenia",62,3,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,78,3017661,79.49
"Bangladesh",254,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,321,15328112,79.13
"India",7134,1,"narendramodi","Narendra Modi","Prime Minister of India","person",NA,9039,1134403141,78.92
"Malaysia",2642,1,"AirAsia","AirAsia","Welcome to our official Twitter account where we tweet exclusive updates, contests & our low fares all in just 140 characters!","airline",NA,3357,25652985,78.7
"Pakistan",1290,2,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,1644,158080591,78.47
"Mongolia",25,3,"BBCBreaking","BBC Breaking News","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","news",NA,32,2580704,78.12
"Mongolia",25,4,"DalaiLama","Dalai Lama","Welcome to the official twitter page of the Office of His Holiness the 14th Dalai Lama.","person",NA,32,2580704,78.12
"Mongolia",25,5,"enkhboldz","Zandaakhuu Enkhbold","УИХ-ын дарга асан, Ардчилсан Намын дарга асан, https://t.co/dQUeKWmfCt","person",NA,32,2580704,78.12
"Mongolia",25,6,"Temuujin_Kh","Temuujin Kh","MP","person",NA,32,2580704,78.12
"Mongolia",25,7,"oyunlt","Oyungerel Tsedevdamb","Human rights activist & Author","person",NA,32,2580704,78.12
"Mongolia",25,8,"BloombergTVM","BloombergTV Mongolia","Хэн нэгний хэрэггүй үзэл бодол бус шийдвэр гаргахад шаардлагатай мэдээлэл | #BTVM","news",NA,32,2580704,78.12
"Chile",516,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,664,16295102,77.71
"Colombia",287,2,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,371,4494579,77.36
"Kuwait",229,2,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,296,2296000,77.36
"Portugal",233,1,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,302,10528226,77.15
"Malaysia",2582,2,"MAS","Malaysia Airlines","Welcome to the official Malaysia Airlines Berhad Twitter account. We're tweeting here Monday to Friday 10am-5pm Malaysia time (GMT +8)","airline",NA,3357,25652985,76.91
"Croatia",33,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,43,455149,76.74
"Croatia",33,2,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,43,455149,76.74
"Egypt",513,2,"TurkishAirlines","Turkish Airlines","Thanks for visiting Europe's Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.","airline",NA,669,72849793,76.68
"Bulgaria",36,2,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,47,7744591,76.6
"Saudi Arabia",694,2,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,907,2361236,76.52
"Portugal",231,2,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,302,10528226,76.49
"Bolivia",42,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,55,9182015,76.36
"Egypt",509,3,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,669,72849793,76.08
"India",6860,2,"SrBachchan","Amitabh Bachchan","Actor ... well at least some are STILL saying so !!","person",NA,9039,1134403141,75.89
"Venezuela",477,2,"CNNEE","CNN en Espanol","CNN en Espanol es tu principal fuente de informacion y breaking news. Cubrimos las noticias de America Latina y el resto del mundo. Vive la noticia.","news",NA,629,26725573,75.83
"Pakistan",1240,3,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,1644,158080591,75.43
"Peru",46,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,61,27274266,75.41
"Czech Republic",61,1,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,81,10191762,75.31
"Turkey",439,3,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,584,72969723,75.17
"Serbia",242,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,322,9863026,75.16
"Mongolia",24,9,"baabar","Баабар","Б.Батбаяр 1954 онд төрсөн. МУИС, Краковын их сургууль, Москвагийн их сургууль, Лондонгийн Империал коллежид тус тус суралцсан. Биохимич мэргэжилтэй.","person",NA,32,2580704,75
"Mongolia",24,10,"ganhuyag","Ganhuyag Ch. Hutagt","Founder and CEO, Investor Nation; CEO, Ard Financial Group; President, ARMD, CEO Club; WEF YGL 2009; Founder, XacBank, TenGer, Mongolia Economic Forum.","person",NA,32,2580704,75
"Mongolia",24,11,"ganaa_gts","Gansukh. A","","person",NA,32,2580704,75
"Mongolia",24,12,"Demberel_S","Demberel Sambuu","Economist by profession,politician by circumstances.RT are not endorsements.","person",NA,32,2580704,75
"Mongolia",24,13,"elbegdorj","Цахиагийн ЭЛБЭГДОРЖ","Tsakhiagiin ELBEGDORJ, President of Mongolia | Монгол Улсын Ерөнхийлөгч | МОНГОЛ УЛСЫН ТӨЛӨӨ ЗҮТГЭЕ! |","person",NA,32,2580704,75
"Mongolia",24,14,"ganchimeg6163","Б.Ганчимэг сэтгүүлч","Сэтгүүлч, ( МУСГЗ)","person",NA,32,2580704,75
"Sweden",168,1,"SAS","SAS","The largest airline company in Scandinavia, flying to and from Europe, with flights to North America and Asia. Customer service: flysas.com or facebook.com/SAS","airline",NA,225,9038049,74.67
"Zimbabwe",112,1,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,150,13119679,74.67
"Bolivia",41,2,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,55,9182015,74.55
"Bulgaria",35,3,"TurkishAirlines","Turkish Airlines","Thanks for visiting Europe's Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.","airline",NA,47,7744591,74.47
"United Arab Emirates",824,1,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,1108,4104291,74.37
"Italy",765,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,1031,5864636,74.2
"Portugal",224,3,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,302,10528226,74.17
"Zimbabwe",111,2,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,150,13119679,74
"Kazakhstan",105,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,142,15210609,73.94
"Romania",181,2,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,245,21627557,73.88
"Saudi Arabia",670,3,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,907,2361236,73.87
"Iraq",807,2,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,1094,27995984,73.77
"Argentina",593,2,"TurkishAirlines","Turkish Airlines","Thanks for visiting Europe's Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.","airline",NA,806,38747148,73.57
"Colombia",272,3,"AmericanAir","American Airlines","We're here to offer advice and inspiration for your trip on American. Please click here if you require a formal response to a complaint:https://t.co/gHXQN4ORDA","airline",NA,371,4494579,73.32
"Kuwait",217,3,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,296,2296000,73.31
"Denmark",134,1,"SAS","SAS","The largest airline company in Scandinavia, flying to and from Europe, with flights to North America and Asia. Customer service: flysas.com or facebook.com/SAS","airline",NA,183,5416945,73.22
"Brazil",1684,2,"TurkishAirlines","Turkish Airlines","Thanks for visiting Europe's Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.","airline",NA,2305,186830759,73.06
"Ukraine",253,2,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,347,46917544,72.91
"Nepal",136,2,"BBCBreaking","BBC Breaking News","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","news",NA,187,27093656,72.73
"Slovenia",335,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,461,1999425,72.67
"Brazil",1674,3,"KLM","Royal Dutch Airlines","Official global account of KLM. While we keep you updated, we're at your service in 12 languages. Share personal details only in private messages!","airline",NA,2305,186830759,72.62
"Kenya",448,3,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,619,35598952,72.37
"Kenya",448,4,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,619,35598952,72.37
"Bulgaria",34,4,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,47,7744591,72.34
"Greece",1421,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,1967,11099737,72.24
"Romania",177,3,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,245,21627557,72.24
"Argentina",582,3,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,806,38747148,72.21
"Nepal",135,3,"BillGates","Bill Gates","Sharing things I'm learning through my foundation work and other interests...","person",NA,187,27093656,72.19
"Portugal",218,4,"TurkishAirlines","Turkish Airlines","Thanks for visiting Europe's Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.","airline",NA,302,10528226,72.19
"Belarus",44,3,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,61,9795287,72.13
"Peru",44,2,"elcomercio","El Comercio","#ElComercio informa a traves de este espacio lo que sucede en #Peru y el Mundo minuto a minuto. Tambien sigue a @sociedad_ECpe y @Politica_ECpe","news",NA,61,27274266,72.13
"Serbia",232,2,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,322,9863026,72.05
"Mongolia",23,15,"cnnbrk","CNN Breaking News","Breaking news from reporters and editors on the CNN Digital news team. Now 42M strong. Check @cnn for all things CNN, breaking and more.","news",NA,32,2580704,71.88
"Mongolia",23,16,"AmarjargalR","Amarjargal","Mongolia, Former PM of Mongolia","person",NA,32,2580704,71.88
"Mongolia",23,17,"jargal_defacto","Jargal Dambadarjaa","Blogger, TV host (defacto) Bachelor in Economics Moscow State University, MBA University of Denver CO USA. info@jargaldefacto.com","person",NA,32,2580704,71.88
"Mongolia",23,18,"OtgonbayarY","Ё. Отгонбаяр","Боловсрол, соёл, шинжлэх ухаан, спортын дэд сайд Vice-Minister of Education, Culture, Science and Sport","person",NA,32,2580704,71.88
"Mongolia",23,19,"News_mn","News.mn","Мэдээллийн Эх Сурвалж  https://t.co/kcju0gwiap http://t.co/QTEeAU8Xx0","news",NA,32,2580704,71.88
"Mongolia",23,20,"OdontuyaS","Odontuya Saldan","Иргэн Та баялаг Сангийн тэргүүн I АН-ын АЭХ-ны Тэргүүн","person",NA,32,2580704,71.88
"Mongolia",23,21,"m_zorigt","Мөнхчулууны Зоригт","Үндэсний үйлдвэрлэлээ тултал дэмжицгээе","person",NA,32,2580704,71.88
"Mongolia",23,22,"Asashoryu","Asashoryu 第68代横綱朝青龍","Official Twitter Page of 第68代横綱 朝青龍 明z� Асашорюү Акинори Asashōryu Akinori,68th Grand Yokozuna. Mongolian Wrestling Federation MWF President","person",NA,32,2580704,71.88
"Mongolia",23,23,"mglbayas","Л.Мөнхбаясгалан","Шүүр унаж нисээд тахиан хөлт байшинд амьдардаг.Одоо би шаналхаа больсон..Учир нь зүрхэндээ гондоом углачихсан. 5000настай","person",NA,32,2580704,71.88
"Mongolia",23,24,"Baabarniitlelch","Baabar","Mehr Licht!","person",NA,32,2580704,71.88
"Mongolia",23,25,"mbatchimeg","Батчимэг Мигэддорж","Судлаач, Улс төрч","person",NA,32,2580704,71.88
"Mongolia",23,26,"enkhamgalanmp","Л.Энх-Амгалан","Улсын Их Хурлын гишүүн, Member of the Parliament","person",NA,32,2580704,71.88
"Mongolia",23,27,"lchinbat","Л.Чинбат","Малчин, тариачин. Гацуурт ХХК Монгол хүнд эрүүл хүнс...","person",NA,32,2580704,71.88
"Mongolia",23,28,"batengineer","Ц.БАТ","aero/mechanical engineering/ aviation management/ air and space law/ common law","person",NA,32,2580704,71.88
"Serbia",231,3,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,322,9863026,71.74
"Colombia",266,4,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,371,4494579,71.7
"Bangladesh",230,2,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,321,15328112,71.65
"Czech Republic",58,2,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,81,10191762,71.6
"Egypt",479,4,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,669,72849793,71.6
"Spain",643,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,899,43397491,71.52
"Serbia",230,4,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,322,9863026,71.43
"India",6447,3,"aamir_khan","Aamir Khan","Actor.","person",NA,9039,1134403141,71.32
"Poland",99,3,"lufthansa","Lufthansa","Welcome to the official twitter channel (international) of Deutsche Lufthansa AG!","airline",NA,139,38195558,71.22
"Nepal",133,4,"BarackObama","Barack Obama","This account is run by Organizing for Action staff. Tweets from the President are signed -bo.","person",NA,187,27093656,71.12
"United Arab Emirates",788,2,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,1108,4104291,71.12
"Bangladesh",228,3,"BillGates","Bill Gates","Sharing things I'm learning through my foundation work and other interests...","person",NA,321,15328112,71.03
"Latvia",22,1,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,31,2301793,70.97
"Spain",635,2,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,899,43397491,70.63
"Italy",728,2,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,1031,5864636,70.61
"Bangladesh",225,4,"BarackObama","Barack Obama","This account is run by Organizing for Action staff. Tweets from the President are signed -bo.","person",NA,321,15328112,70.09
"India",6333,4,"PMOIndia","PMO India","Office of the Prime Minister of India","person",NA,9039,1134403141,70.06
"Azerbaijan",142,4,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,203,8352021,69.95
"Brazil",1611,4,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,2305,186830759,69.89
"United Arab Emirates",771,3,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,1108,4104291,69.58
"Tonga",34,1,"FlyAirNZ","Air New Zealand️","The official Air New Zealand Twitter account  We're listening 24/7. Please call 0800 737 000 for immediate assistance.","airline",NA,49,99361,69.39
"Finland",95,2,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,137,5246004,69.34
"Finland",95,3,"HelsinkiAirport","Helsinki Airport","#Smoothtravelling since 1952. Leading long-haul airport in Northern Europe. Share your pics and thoughts with #helsinkiairport. Happy travels!","airport",NA,137,5246004,69.34
"Mexico",493,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,711,104266392,69.34
"Kenya",429,5,"BarackObama","Barack Obama","This account is run by Organizing for Action staff. Tweets from the President are signed -bo.","person",NA,619,35598952,69.31
"Egypt",463,5,"DrBassemYoussef","Dr Bassem Youssef","instagram: https://t.co/mtJB6EpAQJ check the official facebook page below","person",NA,669,72849793,69.21
"Italy",713,3,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,1031,5864636,69.16
"Poland",96,4,"TurkishAirlines","Turkish Airlines","Thanks for visiting Europe's Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.","airline",NA,139,38195558,69.06
"Venezuela",434,3,"la_patilla","La Patilla","Informacion e Investigacion.    Instagram: https://t.co/3ViZP86cDo Snapchat: https://t.co/NDFit4Mmss","news",NA,629,26725573,69
"Brazil",1589,5,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,2305,186830759,68.94
"Egypt",461,6,"YouTube","YouTube","lol watch this","channel",NA,669,72849793,68.91
"Bangladesh",221,5,"YouTube","YouTube","lol watch this","channel",NA,321,15328112,68.85
"Peru",42,3,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,61,27274266,68.85
"Mexico",489,2,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,711,104266392,68.78
