"followee","screen_name","name","timezone","description","category","country","count","rank"
14589119,"qatarairways","Qatar Airways","Kuwait","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline","None",120856,1
821045162,"emirates","Emirates airline","Abu Dhabi","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline","None",110752,2
45621423,"EtihadAirways","Etihad Airways","Abu Dhabi","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline","None",102299,3
813286,"BarackObama","Barack Obama","Eastern Time (US & Canada)","This account is run by Organizing for Action staff. Tweets from the President are signed -bo.","person","None",97708,4
18332190,"British_Airways","British Airways","London","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline","None",93711,5
16898427,"cathaypacific","Cathay Pacific","Hong Kong","Welcome to the Cathay Pacific Airways Twitter community, where you can share your #lifewelltravelled moments!  You’ll find us tweeting Mon-Fri between 9am & 5pm","airline","None",85938,6
22919665,"AirAsia","AirAsia","Kuala Lumpur","Welcome to our official Twitter account where we tweet exclusive updates, contests & our low fares all in just 140 characters!","airline","None",85083,7
428333,"cnnbrk","CNN Breaking News","Eastern Time (US & Canada)","Breaking news from reporters and editors on the CNN Digital news team. Now 42M strong. Check @cnn for all things CNN, breaking and more.","news","None",82046,8
15846407,"TheEllenShow","Ellen DeGeneres","Pacific Time (US & Canada)","Comedian, talk show host and ice road trucker. My tweets are real, and they’re spectacular. https://t.co/rJNCGU9GhH","person","None",81160,9
783214,"twitter","Twitter","Pacific Time (US & Canada)","Your official source for news, updates and tips from Twitter, Inc. Need help? Visit https://t.co/qq1HEzvnrA.","channel","None",80170,10
742143,"BBCWorld","BBC News (World)","London","Where we #LiveTheStory - join us https://t.co/zQYj7l9rp2","news","None",78869,11
37874853,"STcom","The Straits Times","Singapore","Breaking news from the online site of Singapore's most widely read newspaper","news","None",77253,12
807095,"nytimes","The New York Times","Eastern Time (US & Canada)","Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from https://t.co/YapuoqX0HS.","news","None",76864,13
10228272,"YouTube","YouTube","Pacific Time (US & Canada)","lol watch this","channel","None",76732,14
18909186,"TurkishAirlines","Turkish Airlines","Istanbul","Thanks for visiting Europe’s Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.","airline","None",76465,15
38400130,"ChannelNewsAsia","Channel NewsAsia","Singapore","The official space of Channel NewsAsia - the source of breaking news from Asia & the world. We want to hear from you. Comments and news tips are welcome.","news","None",75772,16
5402612,"BBCBreaking","BBC Breaking News","London","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","news","None",74569,17
218730857,"Qantas","Qantas","Sydney","The official Qantas Twitter page to share information & get feedback. We’re online 24 hours a day, 7 days a week.","airline","None",72087,18
21447363,"katyperry","KATY PERRY","Alaska","Rising...","person","None",71762,19
41085467,"TODAYonline","TODAY","Singapore","Get the latest local and international news from TODAYonline, Singapore's most popular compact newspaper. Also on iOS and Android: https://t.co/hAu0nhk4YE","news","None",69640,20
759251,"CNN","CNN","Eastern Time (US & Canada)","It’s our job to #GoThere and tell the most difficult stories. Come with us!","news","None",69455,21
19106719,"MAS","Malaysia Airlines","Kuala Lumpur","Welcome to the official Malaysia Airlines Berhad Twitter account. We’re tweeting here Monday to Friday 10am-5pm Malaysia time (GMT +8)","airline","None",68924,22
56377143,"KLM","Royal Dutch Airlines","Amsterdam","Official global account of KLM. While we keep you updated, we're at your service in 12 languages. Share personal details only in private messages!","airline","None",68872,23
17919972,"taylorswift13","Taylor Swift","Pacific Time (US & Canada)","Born in 1989.","person","None",68185,24
124476322,"lufthansa","Lufthansa","Bern","Welcome to the official twitter channel (international) of Deutsche Lufthansa AG!","airline","None",65454,25
22536055,"AmericanAir","American Airlines","Central Time (US & Canada)","We’re here to offer advice and inspiration for your trip on American. Please click here if you require a formal response to a complaint:https://t.co/gHXQN4ORDA","airline","None",64655,26
50393960,"BillGates","Bill Gates","Pacific Time (US & Canada)","Sharing things I'm learning through my foundation work and other interests...","person","None",62855,27
34568673,"leehsienloong","Lee Hsien Loong","Singapore","Prime Minister of Singapore, and leader of @PAPSingapore. This account is maintained by the Prime Minister’s Office. Tweets by Mr Lee are signed LHL.","person","None",62737,28
574253,"mrbrown","mrbrown","Singapore","mrbrown aka Kinmun Lee, Blogfather of Singapore, satirist, writer, lyricist, traveler, photographer, cyclist, gamer, and podcaster. Papa of Faith, Isaac & Joy.","person","None",62468,29
115624161,"YahooSG","Yahoo Singapore","Singapore","Yahoo Singapore's official Twitter account. For bite-sized news and thoughts from S'pore and the world. https://t.co/8THI4Qh1GQ | http://t.co/g43c7Fwh4F","news","None",61390,30
114356023,"SoSingaporean","So Singaporean","Singapore","Follow to discover everything so unique and #sosingaporean! For any enquiries and adverts kindly contact me at: sosingaporean.twitter@gmail.com","person","None",58174,31
27260086,"justinbieber","Justin Bieber","Eastern Time (US & Canada)","Let's make the world better. Join @bkstg and add me on @shots 'justinbieber'. COLD WATER and LET ME LOVE YOU out now. OUR new album PURPOSE out NOW","person","None",57318,32
20626359,"VirginAtlantic","Virgin Atlantic","London","Hello Gorgeous! Follow us for news, banter & assistance 24/7. Visit our blog at https://t.co/ziOX3LRnnS or for official concerns visit https://t.co/ZQJmKUNzyR","airline","None",57305,33
5920532,"Delta","Delta","Eastern Time (US & Canada)","Official account of Delta Air Lines. We’re listening around the clock, 7 days a week. For a formal response please visit https://t.co/NnsfScRHt1.","airline","None",56220,34
260907612,"united","United","Central Time (US & Canada)","Conversations with you here are 140 characters-friendly. Tweet us any time. For a formal response visit https://t.co/cpgjUnDsve.","airline","None",56086,35
307781209,"SMRT_Singapore","SMRT Corporation","Singapore","Official Twitter channel for SMRT. Offers information and real-time train service updates. For feedback, drop a line to http://t.co/G2rbdPLYAu","other","None",55452,36
29498906,"Xiaxue","‿ Xiaxue 彡","Singapore","Bitching now comes in bite-sized pieces","person","None",55222,37
59072662,"NEAsg","NEA","Singapore","NEA is the leading public organisation responsible for improving & sustaining a clean & green environment in Singapore. Contact us @ http://t.co/yZ9jceBqoo","other","None",54008,38
34565395,"thenewpaper","The New Paper","Singapore","Local. Vocal. Social. Also check out @TNPSports and @TNP__M","news","None",53925,39
79293791,"rihanna","Rihanna","Pacific Time (US & Canada)","Get #ANTI now: https://t.co/WH1Yy1ELJB","person","None",52870,40
26565946,"jtimberlake","Justin Timberlake","Pacific Time (US & Canada)","","person","None",52834,41
68321763,"LTAsg","LTA","Singapore","Latest transport happenings & lifestyle updates. 

For traffic news, follow @LTATrafficNews. Check out our FB (https://t.co/Ucwpk8rJWH) & IG (@LTAsg) for more!","other","None",52550,42
56883209,"govsingapore","Singapore Government","International Date Line West","Gov.sg - the official Twitter account of the Singapore government. Your first stop for the very latest policy announcements, information and news on Singapore.","other","None",51081,43
37890902,"stompsingapore","Stomp Singapore","Singapore","Award-winning Stomp is Asia's leading citizen journalism website with user-generated material fuelling its success. @stompsingapore on Instagram","news","None",49553,44
606437303,"SGAG_SG","Mr. SGAG","Singapore","Your daily dose of Singaporean humor.
http://t.co/9O4olF8kpf","channel","None",49356,45
5988062,"TheEconomist","The Economist","Eastern Time (US & Canada)","News and analysis with a global perspective.  Subscribe here: https://t.co/FDPVGW00W2","channel","None",48425,46
25365536,"KimKardashian","Kim Kardashian West","Pacific Time (US & Canada)","","person","None",48402,47
106062176,"airfrance","Air France","Paris","#FranceisintheAir! Stay connected for our latest news! At your service 24/7 (Personal info by DM only)","airline","None",48143,48
21401523,"staralliance","Star Alliance","Berlin","The Star Alliance network provides a range of benefits for the international traveller to improve their travel experience, wherever they are in the world.","airline","None",48107,49
14230524,"ladygaga","JOANNE","Quito","Perfect Illusion OUT NOW / New Album JOANNE OCT 21 PRE-ORDER: https://t.co/8QsYawBg3M So #JOANNE is like, you know, Lady Gaga if you erase all the fame.","person","None",47795,50
57034487,"NaomiNeo_","Naomi Neo","Singapore","I've nothing to say, cos you'd judge me anyway. Hate me? Block me. 

Contact business@naomineo.com

https://t.co/7mI9vCCdps","person","None",47715,51
1652541,"Reuters","Reuters Top News","Eastern Time (US & Canada)","Top and breaking news, pictures, and videos from Reuters.","news","None",47585,52
27807739,"987fm","987","Singapore","ABOVE THE NOISE. Tweets by @987Sonia / @987Kimberly / @TabithaNauser / @BoyThunder987 / @JoakimGomez","channel","None",47554,53
16548023,"9GAG","9GAG","Hong Kong","Officially 9GAG. Follow us for LOL. get our app on http://t.co/nCs4SurI1w","channel","None",47105,54
15378041,"VirginAustralia","Virgin Australia","Brisbane","Welcome to the official page for Virgin Australia. We're here to help from 5am-11pm (AEST). For 24/7 assistance call 13 67 89. Feedback: http://t.co/bpg9Lb8EOj","airline","None",46303,55
3108351,"WSJ","Wall Street Journal","Eastern Time (US & Canada)","Breaking news and features from the WSJ.","news","None",44940,56
19617105,"FlyAirNZ","Air New Zealand️","Wellington","The official Air New Zealand Twitter account  We're listening 24/7. Please call 0800 737 000 for immediate assistance.","airline","None",44521,57
17471979,"NatGeo","National Geographic","Eastern Time (US & Canada)","Since 1888, we've traveled the Earth, sharing its amazing stories with new generations. Official Twitter account of National Geographic.","channel","None",44239,58
38140836,"SingaporePolice","SingaporePoliceForce","Singapore","Welcome to Singapore Police Force’s official Twitter account. Pls do NOT report crimes here. Call 999 instead. To provide info, pls call 18002550000. Thank you.","other","None",44060,59
67577830,"toshrock","Tosh Zhang","Singapore","I'm thankful just to be alive cos everyday's a gift. https://t.co/jK1VqdRh5W For business enquiries: toshroc@gmail.com","person","None",43986,60
23375688,"selenagomez","Selena Gomez","Pacific Time (US & Canada)","#REVIVAL out NOW. https://t.co/zP4EExdSBG Get The Revival Tour Line: https://t.co/YHbGeHnygg","person","None",43889,61
14293310,"TIME","TIME","Eastern Time (US & Canada)","Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.","news","None",43814,62
15485441,"jimmyfallon","jimmy fallon","Eastern Time (US & Canada)","astrophysicist","person","None",43473,63
34507480,"ArianaGrande","Ariana Grande","Pacific Time (US & Canada)","dangerous woman","person","None",42650,64
11348282,"NASA","NASA","Eastern Time (US & Canada)","Explore the universe and discover our home planet with @NASA. We usually post in EDT (UTC-4).","other","None",42346,65
19397785,"Oprah","Oprah Winfrey","Central Time (US & Canada)","","person","None",42203,66
343627165,"premierleague","Premier League","Europe/London","Official Twitter account of the Premier League. The official Premier League app is now LIVE and FREE to download https://t.co/2wlDwf7gu1","sports","None",42085,67
20536157,"google","Google","Pacific Time (US & Canada)","News and updates from Google","channel","None",41400,68
2557521,"espn","ESPN","Eastern Time (US & Canada)","We talk about sports, sports, and well ... sports.","sports","None",41384,69
7212562,"SouthwestAir","Southwest Airlines","Central Time (US & Canada)","We run on #SouthwestHeart. Follow for news & stories about the greatest Employees & Customers in the world. For official concerns please use the link provided.","airline","None",40395,70
297169759,"SamsungMobile","Samsung Mobile","Eastern Time (US & Canada)","[Statement] Samsung Urges Galaxy Note7 Users to Immediately Participate in The Replacement Program https://t.co/qyBpeBPd64","brand","None",38796,71
2097571,"cnni","CNN International","London","Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.","news","None",37625,72
91478624,"Forbes","Forbes","Eastern Time (US & Canada)","Official Twitter account of http://t.co/iVGiXAHX, homepage for the world's business leaders.","channel","None",36358,73
2467791,"washingtonpost","Washington Post","Eastern Time (US & Canada)","Tweet-length breaking news, analysis from around the world. Founded in 1877. Follow our journalists on Twitter: https://t.co/VV0UBAMHg8","news","None",36055,74
51241574,"AP","The Associated Press","Eastern Time (US & Canada)","News from The Associated Press, and a taste of the great journalism produced by AP members and customers. Managed 24/7 by these editors: http://t.co/BibaTN49vB","news","None",35754,75
21366823,"allkpop","allkpop","New York","breaking kpop celebrity news and gossip!","channel","None",35357,76
26257166,"SportsCenter","SportsCenter","Eastern Time (US & Canada)","All things sports. Nominate top plays using #SCtop10. *If you tweet or otherwise send us content, you consent to ESPN using and showcasing it in any media.*","sports","None",35219,77
487118986,"XHNews","China Xinhua News","Beijing","China Insight, Global View. Xinhua News Agency is the first port of call for the latest China and world news. https://t.co/U0WI8N4Fll https://t.co/IHLImeWM1V","news","None",35052,78
14159148,"UN","United Nations","Eastern Time (US & Canada)","Official twitter account of #UnitedNations. Get latest information on the #UNGA. Follow us on Snapchat: united-nations. #GlobalGoals #UN4RefugeesMigrants","other","None",33765,79
15425377,"Airbus","Airbus","Paris","A global team designing, manufacturing and supporting the world's leading aircraft... with passengers at heart and airlines in mind.","travel","None",33571,80
352145373,"WhatTheFFacts","What The F*** Facts","Central Time (US & Canada)","All (& only) things that make you say WTF. Official Account of What The F*** Facts.","channel","None",32580,81
15066760,"lonelyplanet","Lonely Planet","London","Tweeting + retweeting the best in travel: in-depth articles, inspiring photography, intrepid videos. #lp | For the latest daily travel news see @lptravelnews","travel","None",32370,82
382267114,"Android","Android","Pacific Time (US & Canada)","News, tips, and tricks direct from the Android team.","brand","None",32272,83
74286565,"Microsoft","Microsoft","Pacific Time (US & Canada)","The official Twitter page for Microsoft consumer products and your source for major announcements and events.","brand","None",31045,84
16365636,"TripAdvisor","TripAdvisor","Eastern Time (US & Canada)","Know better, book better and go better on the world's largest travel site.","travel","None",30477,85
20823928,"HeathrowAirport","Heathrow Airport","London","Welcome to the official Heathrow Airport Twitter feed. We're here to help every day between 6:30am and 11pm (GMT). Follow @yourHeathrow for our expansion news.","airport","None",29905,86
612473,"BBCNews","BBC News (UK)","London","News, features and analysis (https://t.co/FAlDvMvjw7). World news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport","news","None",29712,87
87818409,"guardian","The Guardian","London","Top stories, special features, live blogs and more","news","None",29486,88
180505807,"instagram","Instagram","Pacific Time (US & Canada)","Discovering — and telling — stories from around the world. Curated by Instagram's community team. Need help? Visit https://t.co/OQR3Kbbcdw.","channel","None",29307,89
22090282,"BoeingAirplanes","Boeing Airplanes","Pacific Time (US & Canada)","Official Twitter of Boeing Commercial Airplanes - 
We design, build and support a family of technologically advanced commercial jets","travel","None",28127,90
19923144,"NBA","NBA","Eastern Time (US & Canada)","30 teams, 1 goal. #ThisIsWhyWePlay","sports","None",28021,91
36184220,"NatGeoTravel","NatGeoTravel","Eastern Time (US & Canada)","Your guide to traveling with passion and purpose","travel","None",25555,92
25103967,"Boeing","The Boeing Company","Central Time (US & Canada)","Boeing has a tradition of aerospace leadership and innovation, and is committed to investing in the communities where our people work and live worldwide.","travel","None",25442,93
38676903,"easyJet","easyJet","London","Connecting people across Europe & passionate about making travel easy & affordable. 8:00-8:00pm GMT Mon-Sun. For customer services visit
https://t.co/hOTXBHTSHz","travel","None",25387,94
15670515,"Windows","Windows","Pacific Time (US & Canada)","Windows news, product info & global stories of people using Windows technology to #DoGreatThings. For support tweet @WindowsSupport","brand","None",25352,95
56505125,"googlechrome","Google Chrome","Pacific Time (US & Canada)","The official Twitter account for the Google Chrome browser, OS, Chromebooks, Chromecast, and Web Store","brand","None",24602,96
243381107,"GooglePlay","Google Play","Pacific Time (US & Canada)","We’re exploring the world’s greatest stories through movies, TV, music, games, apps, books and so much more. Up for new adventures and discoveries? Let’s play.","brand","None",24592,97
19426551,"NFL","NFL","Eastern Time (US & Canada)","Official Twitter account of the National Football League. Our Social Media Policy: https://t.co/Og68FW2cN7","sports","None",24505,98
26243008,"muttons","MuttonsInTheMorning","Singapore","Muttons In The Morning - Weekdays 6am-10am on Class95FM. Radio geeks. Loves 4-ply tissue.","channel","None",24398,99
