"screen_name","name","description","category","X","count"
"Starbucks","Starbucks Coffee","Inspiring and nurturing the human spirit��one person, one cup, one neighborhood at a time.","brand",NA,34804
"cnnbrk","CNN Breaking News","Breaking news from reporters and editors on the CNN Digital news team. Now 42M strong. Check @cnn for all things CNN, breaking and more.","news",NA,117577
"mrbrown","mrbrown","mrbrown aka Kinmun Lee, Blogfather of Singapore, satirist, writer, lyricist, traveler, photographer, cyclist, gamer, and podcaster. Papa of Faith, Isaac & Joy.","person",NA,75385
"BBCNews","BBC News (UK)","News, features and analysis (https://t.co/FAlDvMvjw7). World news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport","news",NA,45714
"BBCBusiness","BBC Business","Business news from the BBC. This is our official account aimed at a UK audience. For more global BBC business news please follow @BBCWorldBiz.","news",NA,18916
"BBCWorld","BBC News (World)","Where we #LiveTheStory - join us https://t.co/zQYj7l9rp2","news",NA,112071
"CNN","CNN","It's our job to #GoThere and tell the most difficult stories. Come with us!","news",NA,101801
"twitter","Twitter","Your official source for news, updates and tips from Twitter, Inc. Need help? Visit https://t.co/qq1HEzvnrA.","channel",NA,116959
"guardiannews","Guardian news","The latest stories from the @guardian's news desks.","news",NA,24624
"nytimes","The New York Times","Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from https://t.co/YapuoqX0HS.","news",NA,112775
"BarackObama","Barack Obama","This account is run by Organizing for Action staff. Tweets from the President are signed -bo.","person",NA,140835
"TechCrunch","TechCrunch","Breaking technology news, analysis, and opinions from TechCrunch. The number one guide for all things tech.
Got a tip? Let us know tips@techcrunch.com","news",NA,31741
"mashable","Mashable","News, resources, inspiration and fun for the connected generation. Tweets by @mashable staff.","news",NA,34665
"WIRED","WIRED","WIRED is where tomorrow is realized.","channel",NA,30201
"FoxNews","Fox News","America's Strongest Primetime Lineup Anywhere! Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos.","news",NA,36892
"SAS","SAS","The largest airline company in Scandinavia, flying to and from Europe, with flights to North America and Asia. Customer service: flysas.com or facebook.com/SAS","airline",NA,24919
"Reuters","Reuters Top News","Top and breaking news, pictures, and videos from Reuters.","news",NA,72546
"nytimestravel","NY Times Travel","Travel news and features from around the world.","travel",NA,27845
"nytimesworld","New York Times World","World news from The New York Times. Follow our editors and correspondents here: http://t.co/dZjTQkxoyM","news",NA,20151
"cnni","CNN International","Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.","news",NA,57500
"firefox","Firefox","go forth and internet freely","brand",NA,18056
"MTV","MTV"," tweets by @kaitiii | snapchat: mtv","channel",NA,24343
"facebook","Facebook","Giving people the power to share and make the world more open and connected.","brand",NA,23456
"Skype","Skype","The latest news and updates from the team at Skype. Follow the link below to discover all the wonderful things Skype has to offer.","brand",NA,30522
"washingtonpost","Washington Post","Tweet-length breaking news, analysis from around the world. Founded in 1877. Follow our journalists on Twitter: https://t.co/VV0UBAMHg8","news",NA,54496
"espn","ESPN","We talk about sports, sports, and well ... sports.","sports",NA,54410
"intel","Intel","Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport","brand",NA,37978
"enews","E! News","Entertainment news from https://t.co/G81dlZzugA��watch weeknights at 7p & 11p for the latest! 
Snapchat: e_news","channel",NA,18463
"Newsweek","Newsweek","Stay relevant. News and analysis on politics, science, technology, and culture.","news",NA,19464
"WSJ","Wall Street Journal","Breaking news and features from the WSJ.","news",NA,68468
"FinancialTimes","Financial Times","Headlines from the FT. Follow us on @FT for news stories, features and updates. Our customer service team is @FTcare.","news",NA,36910
"AJEnglish","Al Jazeera English","Everyone has a story worth hearing. Follow @AJENews for breaking news. Add us on Snapchat: AJENews.","news",NA,20755
"wef","World Economic Forum","The international organization for public private cooperation. Follow us for research, insight and analysis on global issues. Annual Meeting hashtag: #wef","",NA,19514
"BBCBreaking","BBC Breaking News","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","news",NA,111753
"Delta","Delta","Official account of Delta Air Lines. We're listening around the clock, 7 days a week. For a formal response please visit https://t.co/NnsfScRHt1.","airline",NA,83004
"TheEconomist","The Economist","News and analysis with a global perspective.  Subscribe here: https://t.co/FDPVGW00W2","channel",NA,73896
"BreakingNews","Breaking News","Be the first to know when news breaks. Get our free app to unlock more updates, see news near you and customize your alerts...","news",NA,43245
"twitterapi","Twitter API","The Real Twitter API. I tweet about API changes, service issues and happily answer questions about Twitter and our API. Don't get an answer? It's on my website.","other",NA,26709
"JetBlue","JetBlue Airways","Hi, nice to tweet you! Fly with us to 90+ destinations and experience our award-winning service. For concerns that require a response, call or email.","airline",NA,55380
"CNNnews18","News18","Latest news alerts from India","news",NA,19022
"TwitterEng","Twitter Engineering","The official account for Twitter Engineering.","other",NA,18101
"SouthwestAir","Southwest Airlines","We run on #SouthwestHeart. Follow for news & stories about the greatest Employees & Customers in the world. For official concerns please use the link provided.","airline",NA,59104
