"screen_name","name","description","category","X","count"
"Boeing","The Boeing Company","Boeing has a tradition of aerospace leadership and innovation, and is committed to investing in the communities where our people work and live worldwide.","travel",NA,84
"GooglePlay","Google Play","We're exploring the world's greatest stories through movies, TV, music, games, apps, books and so much more. Up for new adventures and discoveries? Let's play.","brand",NA,83
"Skype","Skype","The latest news and updates from the team at Skype. Follow the link below to discover all the wonderful things Skype has to offer.","brand",NA,82
"taylorswift13","Taylor Swift","Born in 1989.","person",NA,81
"MAS","Malaysia Airlines","Welcome to the official Malaysia Airlines Berhad Twitter account. We're tweeting here Monday to Friday 10am-5pm Malaysia time (GMT +8)","airline",NA,81
"staralliance","Star Alliance","The Star Alliance network provides a range of benefits for the international traveller to improve their travel experience, wherever they are in the world.","airline",NA,81
"intel","Intel","Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport","brand",NA,80
"IATA","IATA","The International Air Transport Association (IATA) is the global trade association of airlines. Our 260 members comprise 83% of total air traffic.","travel",NA,80
"ChampionsLeague","Champions League","The official home of the UEFA Champions League on Twitter.     Spanish account: @LigadeCampeones U19: @UEFAYouthLeague","sports",NA,80
"TravelLeisure","Travel + Leisure","Your connection to the world of travel, brought to you by our editors. Questions? Stories? Please share! Social media terms: http://t.co/EZJig77Mz1","travel",NA,79
"ladygaga","JOANNE","Perfect Illusion OUT NOW / New Album JOANNE OCT 21 PRE-ORDER: https://t.co/8QsYawBg3M So #JOANNE is like, you know, Lady Gaga if you erase all the fame.","person",NA,78
"TheEllenShow","Ellen DeGeneres","Comedian, talk show host and ice road trucker. My tweets are real, and they're spectacular. https://t.co/rJNCGU9GhH","person",NA,78
"BreakingNews","Breaking News","Be the first to know when news breaks. Get our free app to unlock more updates, see news near you and customize your alerts...","news",NA,77
"rihanna","Rihanna","Get #ANTI now: https://t.co/WH1Yy1ELJB","person",NA,77
"FIFAcom","FIFA.com","Bringing you interviews, features and news on FIFA and our 211 Member Associations. https://t.co/Qgt2IiVKey","sports",NA,76
"BBC_Travel","BBC Travel","Discover new cultures. Embark on new adventures. Celebrate. Explore. Engage. BBC Travel: Inspiring you to fall in love with the world.","travel",NA,76
"BBCNews","BBC News (UK)","News, features and analysis (https://t.co/FAlDvMvjw7). World news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport","news",NA,75
"TravelMagazine","The Travel Magazine"," Get the latest travel news, articles, reports, guides, offers, competitions and more from https://t.co/0In5ml7F8A - we'd love to hear from you too.","travel",NA,75
"jtimberlake","Justin Timberlake","","person",NA,75
"Oprah","Oprah Winfrey","","person",NA,74
"travelchannel","Travel Channel","The official Twitter account of Travel Channel (US). Follow us to talk about all things travel!","travel",NA,73
"googlemaps","Google Maps","Photographic dispatches from Planet Earth.","brand",NA,73
"premierleague","Premier League","Official Twitter account of the Premier League. The official Premier League app is now LIVE and FREE to download https://t.co/2wlDwf7gu1","sports",NA,73
"LouisVuitton","Louis Vuitton","The official Twitter page for Louis Vuitton Worldwide. Contact client services at @LVServices for customer assistance and personalised advice.","brand",NA,72
"nytimestravel","NY Times Travel","Travel news and features from around the world.","travel",NA,71
"espn","ESPN","We talk about sports, sports, and well ... sports.","sports",NA,71
"britneyspears","Britney Spears","My new album #Glory is out now!","person",NA,71
"FlyAirNZ","Air New Zealand️","The official Air New Zealand Twitter account  We're listening 24/7. Please call 0800 737 000 for immediate assistance.","airline",NA,69
"Dior","Dior","","brand",NA,69
"NewYorker","The New Yorker","The New Yorker is a weekly magazine with a mix of reporting on politics and culture, humor and cartoons, fiction and poetry, and reviews and criticism.","channel",NA,68
"easyJet","easyJet","Connecting people across Europe & passionate about making travel easy & affordable. 8:00-8:00pm GMT Mon-Sun. For customer services visit
https://t.co/hOTXBHTSHz","travel",NA,68
"facebook","Facebook","Giving people the power to share and make the world more open and connected.","brand",NA,67
"CNTraveler","Conde Nast Traveler","At home in the world. 

Snapchat: CNTraveler","travel",NA,67
"WorldBank","World Bank","The official World Bank Twitter feed. The World Bank's mission is to fight poverty with passion and professionalism for lasting results.","other",NA,67
"WhiteHouse","The White House","Follow for the latest from President Obama and his Administration. For tweets from the President, follow @POTUS. Tweets may be archived: https://t.co/eVVzoBb3Zr","other",NA,67
"hrw","Human Rights Watch","We provide timely information on #humanrights crises in 90+ countries. Curated by @jimmurphysf, @astroehlein & @snorthfield45 Staff list https://t.co/wBw0SILvlQ","other",NA,66
"FCBarcelona","FC Barcelona","More official accounts @fcbarcelona_cat @fcbarcelona_es @fcbarcelona_br @fcbarcelona_jp @fcbarcelona_id, @fcbarcelona_ara @fcbarcelona_fra @fcbarcelona_tr","sports",NA,66
"TEDTalks","TED Talks","The official feed for http://t.co/XyGsGk6F0m. Ideas worth spreading.","channel",NA,65
"WIRED","WIRED","WIRED is where tomorrow is realized.","channel",NA,64
"richardbranson","Richard Branson","Tie-loathing adventurer, philanthropist & troublemaker, who believes in turning ideas into reality. Otherwise known as Dr Yes at @virgin!","person",NA,64
"ABC","ABC News","See the whole picture with @ABC News. Join us on Facebook: https://t.co/ewMNZ54axm","news",NA,62
"FIFAWorldCup","FIFA World Cup","Updates for Russia 2018 provided by the Official Site of the FIFA World Cup","sports",NA,61
"luxury__travel","A Luxury Travel Blog","Blogging on all things luxury travel at http://t.co/qClm5pokjd - please contact us via the blog ( http://t.co/ItuVWGd0i7 )","travel",NA,60
"WHO","WHO","Official Twitter account of the World Health Organization, the United Nations' health agency","other",NA,60
"Expedia","Expedia","Travel tips, inspiration & deals from https://t.co/fcT976R6Hd. Customer service from 5am-10pm PT daily. Have you checked out the Expedia Viewfinder blog yet?","travel",NA,60
"GuardianTravel","Guardian Travel","The latest travel news, insider guides, emerging destinations, new hotels and travel trends from the @Guardian. Instagram: guardiantravelsnaps","travel",NA,60
"Cristiano","Cristiano Ronaldo","This Privacy Policy addresses the collection and use of personal information - https://t.co/Jp6yh1T58c","person",NA,59
"NBA","NBA","30 teams, 1 goal. #ThisIsWhyWePlay","sports",NA,58
"EconBizFin","The Economist","Official posts from The Economist on Business, Finance and Economics. Subscribe to our Money Talks podcast here https://t.co/3cTKbmDJha","",NA,57
"GoogleTravel","Google Travel Team","Google's Travel Team (Official): Here to provide the latest industry news & data","travel",NA,57
"JLo","Jennifer Lopez","New Single #LoveMakeTheWorldGoRound out Now! #ShadesOfBlue On NBC, https://t.co/Vr9yBT9OHp","person",NA,57
"MTV","MTV"," tweets by @kaitiii | snapchat: mtv","channel",NA,56
"UNHumanRights","UN Human Rights","The United Nations #HumanRights office is led by High Commissioner #Zeid","other",NA,56
"voguemagazine","Vogue Magazine","The official twitter page of Vogue Magazine.","channel",NA,56
"HuffingtonPost","Huffington Post","internet lovers | sleep believers | news addicts | big font obsessives | greek yogurt fans | Sign our petition to end food waste: https://t.co/kRV9KPguV7","news",NA,55
"Gatwick_Airport","Gatwick Airport LGW","We're here 24/7 to answer your questions and help you have a great experience at Gatwick. Follow @LGWobviously for runway 2 news.","airport",NA,55
"BBCSport","BBC Sport","Official https://t.co/XsBH2P4slh account. Also from @bbc - @bbcmotd @bbcf1 @bbctms @bbctennis @bbcrugbyunion & @bbcgetinspired","sports",NA,55
"Alitalia","Alitalia","Welcome to the official AlitaliaTwitter account! Follow us for latest news and events!","travel",NA,54
"NBCNews","NBC News","A leading source of global news and information for more than 75 years. 
 
Facebook: https://t.co/oeDi7xACU7 

Snapchat: https://t.co/suOkoNb0KE","news",NA,51
"HarvardBiz","Harvard Biz Review","The leading destination for smart management thinking. Click here to subscribe: https://t.co/7mnPc2GE4Q","channel",NA,51
"realmadrid","Real Madrid C. F.","Cuenta oficial del Real Madrid C.F., ENGLISH @realmadriden, FRANÇAIS @realmadridfra, العربيه @realmadridarab, 日本語 @realmadridjapan.","sports",NA,51
"Discovery","Discovery","Grab life by the globe!","channel",NA,51
"flightradar24","Flightradar24","Track air traffic in real time from all around the world! Apps: http://t.co/ongfnAPfLz
FAQ: http://t.co/WfQImBHLYe
Support: http://t.co/ifn4x04sH9","travel",NA,51
"CHANEL","CHANEL","'CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel","brand",NA,51
"SouthwestAir","Southwest Airlines","We run on #SouthwestHeart. Follow for news & stories about the greatest Employees & Customers in the world. For official concerns please use the link provided.","airline",NA,50
"VirginAustralia","Virgin Australia","Welcome to the official page for Virgin Australia. We're here to help from 5am-11pm (AEST). For 24/7 assistance call 13 67 89. Feedback: http://t.co/bpg9Lb8EOj","airline",NA,50
"AirCanada","Air Canada","News & more. For fare discounts & special offers follow @ACFlightOffers. | Nouvelles et plus. Pour nos offres speciales suivez @ACFlightOffers.","airline",NA,50
"businessinsider","Business Insider","What you need to know.","channel",NA,49
"AirAsia","AirAsia","Welcome to our official Twitter account where we tweet exclusive updates, contests & our low fares all in just 140 characters!","airline",NA,49
"DubaiAirports","Dubai Airports","Dubai Airports owns and manages the operation of Dubai International (DXB) and Dubai World Central (DWC). تابعوا صفحتنا باللغة العربية @DubaiAirportsAr","airport",NA,49
"Starbucks","Starbucks Coffee","Inspiring and nurturing the human spirit��one person, one cup, one neighborhood at a time.","brand",NA,48
"KimKardashian","Kim Kardashian West","","person",NA,48
"AppStore","App Store","","brand",NA,48
"FinancialTimes","Financial Times","Headlines from the FT. Follow us on @FT for news stories, features and updates. Our customer service team is @FTcare.","news",NA,47
"StateDept","Department of State","Welcome to the official U.S. Department of State Twitter account!  
Secretary Kerry tweets from @JohnKerry.","other",NA,47
"business","Bloomberg","The first word in business news.","news",NA,47
"AppleMusic","Apple Music","All the ways you love music. All in one place.","brand",NA,47
"hootsuite","Hootsuite","Social media news and tips from the world's most widely used social relationship platform. Sign up for free: http://t.co/Zmrb0hY23s Support: @Hootsuite_Help","news",NA,46
"AirFranceUS","Air France US","#FranceisintheAir! At your service 24/7. Stay connected for our latest news. For media inquiries tweet @AFNewsroom (Personal info by DM only)","airline",NA,46
"airliners_net","Airliners.net","The Best Aviation Photos, Largest Online Aviation Community, Airplane Information and Aviation News!","travel",NA,46
"AviationWeek","Aviation Week","Insight and analysis from the Aviation Week Network, the largest information provider to the global aviation, aerospace and defense industries since 1916.","travel",NA,45
"AirFranceFR","Air France FR","#FranceisintheAir ! @AirFranceFR vous delivre ici ses dernieres offres et est à votre service 24/7. (Donnees perso uniquement en DM)","airline",NA,45
"DeltaNewsHub","Delta News Hub","Official Twitter newsroom of Delta Air Lines, a resource for people sharing Delta news. Visit @Delta for customer service, tips and promos.","airline",NA,45
"Entrepreneur","Entrepreneur","Inspiring, informing and celebrating entrepreneurs since 1973. Please tweet @EntCommunity for questions and event live-feeds.","channel",NA,44
"cntraveller","Conde Nast Traveller","Travel inspiration from the editors of Conde Nast Traveller UK","travel",NA,44
"wef","World Economic Forum","The international organization for public private cooperation. Follow us for research, insight and analysis on global issues. Annual Meeting hashtag: #wef","",NA,43
"KenyaAirways","Kenya  Airways","The Pride of Africa.Official KQ page sharing news, views and overall experience. E-mail: Customer.Relations@kenya-airways.com Tel:+254711024747/+254734104747","news",NA,43
"HillaryClinton","Hillary Clinton","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H","person",NA,43
"Newsweek","Newsweek","Stay relevant. News and analysis on politics, science, technology, and culture.","news",NA,42
"timestravel","The Times Travel","The latest travel news, deals and videos plus inspiration for your next trip","travel",NA,42
"airberlin","airberlin","A warm welcome to the official airberlin Twitter account. Discover the world of airberlin and register now for the airberlin newsletter! https://t.co/tmcNONhGio","airline",NA,42
"BW","Businessweek","The official Twitter of Bloomberg Businessweek. Covering the business world like no one else.","channel",NA,42
"XHNews","China Xinhua News","China Insight, Global View. Xinhua News Agency is the first port of call for the latest China and world news. https://t.co/U0WI8N4Fll https://t.co/IHLImeWM1V","news",NA,42
"FoxNews","Fox News","America's Strongest Primetime Lineup Anywhere! Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos.","news",NA,41
"latimestravel","L.A. Times Travel","@LATimes Travel news and more from Chris Reynolds (@mrcsreynolds), Catharine Hamm (@CatHamm), @AHarnagel (Anne Harnagel) and Brady MacDonald @latimesfunland)","news",NA,41
"justinbieber","Justin Bieber","Let's make the world better. Join @bkstg and add me on @shots 'justinbieber'. COLD WATER and LET ME LOVE YOU out now. OUR new album PURPOSE out NOW","person",NA,41
"MercedesBenz","Mercedes-Benz","Welcome to Mercedes-Benz - stay informed and follow us. For technical assistance please contact your local dealer. Provider: https://t.co/dIo7vVvhBh","brand",NA,40
"Icelandair","Icelandair","Welcome to the official Twitter of Icelandair. Icelandair is an international airline currently serving 40 gateways in Europe, the USA and Canada.","airline",NA,39
"usatodaytravel","USA TODAY Travel","Get the latest travel news, deals and trends about flights, hotels, cruises and destinations from the USA TODAY Travel team.","travel",NA,39
"mashable","Mashable","News, resources, inspiration and fun for the connected generation. Tweets by @mashable staff.","news",NA,38
"CNNMoney","CNNMoney","The money news that matters most to you. Meet our team: http://t.co/krbacc9dFn","channel",NA,38
"DalaiLama","Dalai Lama","Welcome to the official twitter page of the Office of His Holiness the 14th Dalai Lama.","person",NA,38
"FortuneMagazine","Fortune","FORTUNE's official Twitter feed. Here's what we're hearing, seeing, reading and writing. Visit us at http://t.co/EZnUYxNm","channel",NA,38
"AirlineReporter","Airline Reporter","Providing engaging news & stories on aviation, travel, & airlines since 2008. Over 30 writers, in 18 cities, on 4 continents. Home of the #AvGeek!","travel",NA,38
"Burberry","Burberry","Shop the show: https://t.co/1F5QFB7Bjc","brand",NA,38
"NBCNewsTravel","NBC News Travel","Getting there is half the fun, so the saying goes. Read about top travel news, issues of the day and the joy and hassle of traveling.","news",NA,37
"selenagomez","Selena Gomez","#REVIVAL out NOW. https://t.co/zP4EExdSBG Get The Revival Tour Line: https://t.co/YHbGeHnygg","person",NA,37
"NatGeoPhotos","Nat Geo Photography","All things photography from National Geographic. Like us on Facebook: https://t.co/17NiJ0092Z","",NA,37
"Nike","Nike","#justdoit","brand",NA,37
"amnesty","AmnestyInternational","We've been fighting the bad guys since 1961 - you can join us! Official Amnesty International USA profile - RTs��endorsements.","other",NA,36
"FT","Financial Times","News stories, features and updates from the FT. For headlines follow @financialtimes. Our customer service team is @FTcare.","news",NA,36
"UNESCO","UNESCO","Building peace where it starts - in the minds of men & women. Follow our Director-General @IrinaBokova","other",NA,36
"Arsenal","Arsenal FC","The official club website brings you all the latest #Arsenal news, views and ticket information from Emirates Stadium

Follow:
@OfficialAFC_ID
@OfficialAFC_ES","sports",NA,36
"Adele","Adele","https://t.co/5Vf55N5xFe","person",NA,36
"Telegraph","The Telegraph","The latest news, business, sport, comment, lifestyle and culture from the https://t.co/cJ9Ctg93KL team.","news",NA,35
"MercedesAMGF1","MERCEDES AMG F1","The official Twitter account of the MERCEDES AMG PETRONAS Formula One Team - 2014 and 2015 Formula One World Champions!","other",NA,35
"Audi","Audi","The official Twitter account of Audi of America.","brand",NA,35
"GEAviation","GE Aviation","GE Aviation provides jet and turboprop engines, integrated systems and services for commercial, military and business & general aviation aircraft.","brand",NA,35
"Sony","Sony","The official Twitter account for Sony in the United States.","brand",NA,35
"fodorstravel","Fodor's Travel","Travel Intelligence to give you insightful observations and recommendations to plan your next getaway.","travel",NA,34
"FlySWISS","Swiss Intl Air Lines","Official twitter account of Switzerland's national airline. SWISS in CH @FlySWISS_CH, in the USA @FlySWISS_US, SWISS Cargo @SwissWorldCargo","airline",NA,34
"ChelseaFC","Chelsea FC","Welcome to the official Twitter account of Chelsea Football Club.","sports",NA,34
"SportsCenter","SportsCenter","All things sports. Nominate top plays using #SCtop10. *If you tweet or otherwise send us content, you consent to ESPN using and showcasing it in any media.*","sports",NA,34
"POTUS","President Obama","Dad, husband, and 44th President of the United States. Tweets may be archived: http://t.co/eVVzoATsAR.","person",NA,34
"JetBlue","JetBlue Airways","Hi, nice to tweet you! Fly with us to 90+ destinations and experience our award-winning service. For concerns that require a response, call or email.","airline",NA,32
"KoreanAir_KE","Korean Air","Leading Global carrier, a founding member of SkyTeam, operates more than 400 flights per day to 131 cities in 46 countries.","airline",NA,32
"LondonCityAir","London City Airport","London City Airport - the true gateway to London","airport",NA,32
"dolcegabbana","Dolce & Gabbana","","brand",NA,32
"EmWatson","Emma Watson","Actor & @UN_Women Global Goodwill Ambassador.                                Facebook: EmmaWatson Instagram: EmmaWatson Goodreads: OurSharedShelf","person",NA,32
"KAYAK","KAYAK","KAYAK is a travel search engine. For support, visit: http://t.co/dITnoI8o4D (staff available Mon- Fri: 8AM GMT-10PM GMT)","travel",NA,31
"UberFacts","UberFacts","The most unimportant things you'll never need to know.","channel",NA,31
"YouTubeTrends","YouTube Trends","","other",NA,30
"BBCBusiness","BBC Business","Business news from the BBC. This is our official account aimed at a UK audience. For more global BBC business news please follow @BBCWorldBiz.","news",NA,29
"firefox","Firefox","go forth and internet freely","brand",NA,29
"CBSNews","CBS News","The official twitter feed of @CBSNews. Follow for original reporting and trusted news.","news",NA,28
"Lumia","Lumia","The official destination for the latest news, updates and insights from the Microsoft Lumia team. For support Tweet @LumiaHelp","brand",NA,28
"Support","Twitter Support","We Tweet tips and tricks to help you boost your Twitter skills and keep your account secure. For detailed help, visit http://t.co/qq1HEzdMA2.","",NA,28
"CalvinKlein","Calvin Klein","Calvin Klein is a global lifestyle brand that exemplifies bold, progressive ideals and a seductive, and often minimal, aesthetic.","brand",NA,28
"armani","Armani","https://t.co/DPsTDtdQXH","brand",NA,28
"LeoDiCaprio","Leonardo DiCaprio","Actor and Environmentalist","person",NA,28
"billclinton","Bill Clinton","Founder, Clinton Foundation and 42nd President of the United States. Follow @clintonfdn fo more on my work around the world.","person",NA,28
"UEFAcom","UEFA.com","http://t.co/jtKr33tmy8 - The official website for European football. Bringing you the latest from across Europe.","sports",NA,27
"jimmyfallon","jimmy fallon","astrophysicist","person",NA,27
"nokia","Nokia","Are you ready for a new era of technology? Join us in expanding the human possibilities of the connected world.","brand",NA,27
"TechCrunch","TechCrunch","Breaking technology news, analysis, and opinions from TechCrunch. The number one guide for all things tech.
Got a tip? Let us know tips@techcrunch.com","news",NA,26
"AJEnglish","Al Jazeera English","Everyone has a story worth hearing. Follow @AJENews for breaking news. Add us on Snapchat: AJENews.","news",NA,26
"elonmusk","Elon Musk","Tesla, SpaceX, SolarCity, PayPal & OpenAI","person",NA,26
"ChangiAirport","Changi Airport","The official #ChangiAirport Twitter account for the latest news, events & deals. You may also follow @ChangiAirport on Facebook, Instagram, YouTube & LinkedIn.","airport",NA,26
"VirginAmerica","Virgin America","Welcome to the only mood-lit Twitter feed. Check out our blog http://t.co/rYssSyFrNc. For official complaints please visit us at http://t.co/cftZiNWDrG. Cheers!","airline",NA,25
"andresiniesta8","Andres Iniesta","FC Barcelona player. 
Born in Fuentealbilla 11 May 1984","person",NA,25
"XabiAlonso","Xabi Alonso","Cuenta oficial de Xabi Alonso","",NA,25
"LFC","Liverpool FC","Official worldwide account of Liverpool FC, England's most successful club with 41 major honours #LFC","sports",NA,24
"davidguetta","David Guetta","Official David Guetta Twitter Page. http://t.co/RMCqdEM9XC","person",NA,24
"googledrive","Google Drive","Google Drive is a safe place for all your files. Use Drive for free on all your devices. Visit http://t.co/ReoUx29Gxc to get started.","brand",NA,24
"Citi","Citi","Serving as a trusted partner to our clients by responsibly providing financial services that enable growth & economic progress. Customer service: @AskCiti","brand",NA,24
"SkyNews","Sky News","Stories direct from the @SkyNews newsroom. Tweet us your queries and questions. For breaking news, follow @SkyNewsBreak.","news",NA,23
"SkyNewsBreak","Sky News Newsdesk","The latest breaking news, direct from the Sky News team. Tweet @skynews with any questions or queries.","news",NA,23
"TwitterSports","Twitter Sports","Official Account run by the Global Sports Team @Twitter.","sports",NA,23
"vine","Vine","Vine is an entertainment community where things happen fast. Sign up for #beyondtheVine at the link below!","channel",NA,23
"guardiannews","Guardian news","The latest stories from the @guardian's news desks.","news",NA,22
"PlayStation","PlayStation","Official Twitter updates on PlayStation, PS4, PS VR, PS3, PS Vita, and PSN. Titles rated E-M. Support channel: @AskPlayStation","brand",NA,22
"EuropaLeague","UEFA Europa League","The official home of the UEFA Europa League on Twitter. #UEL","sports",NA,22
"shakira","Shakira","#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/oEZtqqavxC","person",NA,21
"3M","3M","Here, we innovate with purpose & use #science every day to create real impact in every life around the world. #Lifewith3M","brand",NA,21
"SimonCowell","Simon Cowell","","",NA,21
"9GAG","9GAG","Officially 9GAG. Follow us for LOL. get our app on http://t.co/nCs4SurI1w","channel",NA,20
"UberSoc","UberSocial","A full-featured, customizable Twitter app just for you. For support, please submit tickets here: http://t.co/PBWcqQ73","other",NA,20
"Versace","Versace","Founded by Gianni Versace in 1978, Versace is one of the world's leading international fashion brands and is a symbol of Italian style worldwide.","brand",NA,20
"Lamborghini","Lamborghini","Visionary | Cutting Edge | Pure Super Sports Car Maker. #Lamborghini","brand",NA,20
"BMW","BMW","Welcome to the official #BMW account. http://t.co/VjgKsKkFhI","brand",NA,20
"realDonaldTrump","Donald J. Trump","","person",NA,19
"Pontifex","Pope Francis","Welcome to the official Twitter page of His Holiness Pope Francis","person",NA,19
"Porsche","Porsche","The official Twitter handle of Porsche Cars North America. Our Customer Care team is here to help. Tweet #PorscheCares or call 1-800-PORSCHE for assistance.","brand",NA,18
